time,concentration
91.8,3.3682537372592383
91.9,3.3653889854556205
92.0,3.3625241070431597
92.1,3.3596591144089767
92.2,3.356794019881366
92.3,3.3539288357300316
92.4,3.351063574166314
92.5,3.3481982473434195
92.6,3.345332867356649
92.7,3.342467446243629
92.8,3.3396019959845287
92.9,3.3367365285022963
93.0,3.3338710556628772
93.1,3.3310055892754407
93.2,3.3281401410926033
93.3,3.325274722810649
93.4,3.322409346069754
93.5,3.3195440224542048
93.6,3.3166787634926185
93.7,3.3138135806581634
93.8,3.3109484853687747
93.9,3.3080834889873754
94.0,3.3052186028220896
94.1,3.3023538381264603
94.2,3.299489206099662
94.3,3.2966247178867194
94.4,3.2937603845787153
94.5,3.290896217213008
94.6,3.2880322267734394
94.7,3.285168424190548
94.8,3.2823048203417784
94.9,3.279441426051692
95.0,3.2765782520921736
95.1,3.2737153091826396
95.2,3.270852607990248
95.3,3.2679901591300995
95.4,3.265127973165447
95.5,3.262266060607902
95.6,3.259404431917631
95.7,3.2565430975035654
95.8,3.253682067723604
95.9,3.250821352884811
96.0,3.2479609632436177
96.1,3.2451009090060263
96.2,3.242241200327805
96.3,3.239381847314689
96.4,3.2365228600225766
96.5,3.233664248457729
96.6,3.230806022576966
96.7,3.22794819228786
96.8,3.225090767448931
96.9,3.2222337578698443
97.0,3.2193771733116003
97.1,3.2165210234867283
97.2,3.2136653180594807
97.3,3.2108100666460215
97.4,3.2079552788146164
97.5,3.205100964085827
97.6,3.2022471319326975
97.7,3.1993937917809396
97.8,3.196540953009127
97.9,3.193688624948879
98.0,3.1908368168850463
98.1,3.1879855380558966
98.2,3.185134797653302
98.3,3.1822846048229207
98.4,3.179434968664382
98.5,3.1765858982314708
98.6,3.1737374025323053
98.7,3.1708894905295204
98.8,3.168042171140453
98.9,3.165195453237315
99.0,3.1623493456473786
99.1,3.15950385715315
99.2,3.1566589964925544
99.3,3.1538147723591057
99.4,3.1509711934020883
99.5,3.1481282682267326
99.6,3.1452860053943894
99.7,3.142444413422705
99.8,3.1396035007857965
99.9,3.1367632759144226
100.0,3.1339237471961594
100.1,3.1310849229755733
100.2,3.128246811554386
100.3,3.125409421191655
100.4,3.1225727601039353
100.5,3.119736836465457
100.6,3.1169016584082856
100.7,3.1140672340224977
100.8,3.111233571356345
100.9,3.1084006784164218
101.0,3.1055685631678336
101.1,3.1027372335343593
101.2,3.09990669739862
101.3,3.0970769626022405
101.4,3.0942480369460172
101.5,3.0914199281900774
101.6,3.088592644054042
101.7,3.0857661922171933
101.8,3.0829405803186303
101.9,3.080115815957432
102.0,3.0772919066928175
102.1,3.074468860044307
102.2,3.0716466834918794
102.3,3.068825384476129
102.4,3.066004970398429
102.5,3.063185448621083
102.6,3.0603668264674857
102.7,3.0575491112222757
102.8,3.0547323101314947
102.9,3.051916430402739
103.0,3.0491014792053157
103.1,3.046287463670399
103.2,3.043474390891175
103.3,3.040662267923006
103.4,3.037851101783574
103.5,3.035040899453032
103.6,3.0322316678741634
103.7,3.0294234139525225
103.8,3.02661614455659
103.9,3.02380986651792
104.0,3.0210045866312893
104.1,3.0182003116548466
104.2,3.0153970483102577
104.3,3.0125948032828553
104.4,3.0097935832217817
104.5,3.0069933947401384
104.6,3.00419424441513
104.7,3.0013961387882078
104.8,2.998599084365216
104.9,2.995803087616534
105.0,2.9930081549772196
105.1,2.990214292847154
105.2,2.9874215075911796
105.3,2.984629805539246
105.4,2.9818391929865458
105.5,2.9790496761936627
105.6,2.9762612613867017
105.7,2.9734739547574387
105.8,2.97068776246345
105.9,2.9679026906282573
106.0,2.9651187453414636
106.1,2.9623359326588883
106.2,2.9595542586027084
106.3,2.9567737291615894
106.4,2.9539943502908277
106.5,2.951216127912478
106.6,2.9484390679154946
106.7,2.945663176155862
106.8,2.9428884584567316
106.9,2.94011492060855
107.0,2.9373425683692
107.1,2.9345714074641207
107.2,2.9318014435864517
107.3,2.929032682397158
107.4,2.926265129525158
107.5,2.9234987905674625
107.6,2.920733671089295
107.7,2.9179697766242265
107.8,2.9152071126743047
107.9,2.9124456847101765
108.0,2.909685498171225
108.1,2.9069265584656874
108.2,2.9041688709707865
108.3,2.9014124410328592
108.4,2.898657273967477
108.5,2.895903375059576
108.6,2.8931507495635795
108.7,2.8903994027035202
108.8,2.8876493396731715
108.9,2.8849005656361633
109.0,2.882153085726109
109.1,2.8794069050467272
109.2,2.876662028671963
109.3,2.873918461646112
109.4,2.8711762089839397
109.5,2.868435275670799
109.6,2.8656956666627593
109.7,2.862957386886717
109.8,2.860220441240522
109.9,2.8574848345930897
110.0,2.8547505717845256
110.1,2.852017657626242
110.2,2.8492860969010705
110.3,2.8465558943633873
110.4,2.8438270547392226
110.5,2.8410995827263816
110.6,2.838373482994558
110.7,2.8356487601854505
110.8,2.8329254189128763
110.9,2.8302034637628877
111.0,2.8274828992938823
111.1,2.8247637300367217
111.2,2.8220459604948416
111.3,2.8193295951443655
111.4,2.8166146384342157
111.5,2.8139010947862255
111.6,2.8111889685952547
111.7,2.8084782642292945
111.8,2.8057689860295802
111.9,2.803061138310705
112.0,2.8003547253607253
112.1,2.797649751441271
112.2,2.7949462207876583
112.3,2.792244137608991
112.4,2.7895435060882767
112.5,2.7868443303825274
112.6,2.784146614622873
112.7,2.781450362914662
112.8,2.7787555793375747
112.9,2.7760622679457243
113.0,2.7733704327677637
113.1,2.7706800778069915
113.2,2.7679912070414576
113.3,2.7653038244240666
113.4,2.762617933882682
113.5,2.7599335393202287
113.6,2.7572506446148
113.7,2.7545692536197555
113.8,2.75188937016383
113.9,2.749210998051228
114.0,2.7465341410617308
114.1,2.7438588029507995
114.2,2.7411849874496674
114.3,2.73851269826545
114.4,2.73584193908124
114.5,2.7331727135562103
114.6,2.730505025325709
114.7,2.7278388780013634
114.8,2.7251742751711743
114.9,2.722511220399619
115.0,2.7198497172277447
115.1,2.7171897691732703
115.2,2.7145313797306785
115.3,2.711874552371317
115.4,2.7092192905434938
115.5,2.7065655976725744
115.6,2.7039134771610733
115.7,2.7012629323887536
115.8,2.6986139667127214
115.9,2.6959665834675186
116.0,2.6933207859652195
116.1,2.6906765774955215
116.2,2.6880339613258433
116.3,2.6853929407014134
116.4,2.6827535188453666
116.5,2.680115698958834
116.6,2.6774794842210374
116.7,2.6748448777893774
116.8,2.672211882799531
116.9,2.669580502365536
117.0,2.6669507395798844
117.1,2.664322597513617
117.2,2.661696079216407
117.3,2.6590711877166506
117.4,2.6564479260215625
117.5,2.653826297117257
117.6,2.6512063039688423
117.7,2.6485879495205067
117.8,2.6459712366956065
117.9,2.643356168396753
118.0,2.640742747505903
118.1,2.6381309768844416
118.2,2.635520859373273
118.3,2.6329123977929036
118.4,2.6303055949435294
118.5,2.627700453605122
118.6,2.6250969765375123
118.7,2.6224951664804803
118.8,2.6198950261538316
118.9,2.6172965582574896
119.0,2.6146997654715762
119.1,2.612104650456496
119.2,2.609511215853018
119.3,2.6069194642823623
119.4,2.604329398346281
119.5,2.6017410206271387
119.6,2.5991543336879985
119.7,2.5965693400727012
119.8,2.5939860423059486
119.9,2.591404442893382
120.0,2.5888245443216658
120.1,2.5862463490585683
120.2,2.58366985955304
120.3,2.5810950782352937
120.4,2.578522007516886
120.5,2.5759506497907956
120.6,2.573381007431503
120.7,2.5708130827950675
120.8,2.5682468782192074
120.9,2.5656823960233788
121.0,2.563119638508851
121.1,2.5605586079587863
121.2,2.5579993066383175
121.3,2.5554417367946205
121.4,2.5528859006569986
121.5,2.5503318004369513
121.6,2.547779438328256
121.7,2.545228816507041
121.8,2.542679937131861
121.9,2.540132802343773
122.0,2.537587414266413
122.1,2.5350437750060664
122.2,2.532501886651746
122.3,2.5299617512752666
122.4,2.527423370931314
122.5,2.524886747657524
122.6,2.522351883474553
122.7,2.5198187803861507
122.8,2.517287440379234
122.9,2.5147578654239573
123.0,2.51223005747379
123.1,2.509704018465579
123.2,2.5071797503196303
123.3,2.5046572549397736
123.4,2.502136534213438
123.5,2.499617590011715
123.6,2.4971004241894392
123.7,2.4945850385852517
123.8,2.4920714350216717
123.9,2.4895596153051676
124.0,2.487049581226223
124.1,2.4845413345594105
124.2,2.482034877063456
124.3,2.4795302104813115
124.4,2.4770273365402184
124.5,2.4745262569517816
124.6,2.4720269734120324
124.7,2.469529487601499
124.8,2.4670338011852717
124.9,2.4645399158130705
125.0,2.4620478331193154
125.1,2.4595575547231863
125.2,2.4570690822286947
125.3,2.4545824172247475
125.4,2.452097561285213
125.5,2.449614515968987
125.6,2.4471332828200576
125.7,2.4446538633675687
125.8,2.442176259125889
125.9,2.439700471594672
126.0,2.4372265022589215
126.1,2.4347543525890583
126.2,2.432284024040979
126.3,2.429815518056126
126.4,2.427348836061543
126.5,2.4248839794699455
126.6,2.422420949679779
126.7,2.4199597480752826
126.8,2.417500376026551
126.9,2.4150428348895994
127.0,2.4125871260064202
127.1,2.4101332507050497
127.2,2.407681210299625
127.3,2.405231006090449
127.4,2.402782639364049
127.5,2.400336111393238
127.6,2.397891423437174
127.7,2.3954485767414235
127.8,2.393007572538017
127.9,2.390568412045511
128.0,2.388131096469049
128.1,2.385695627000418
128.2,2.383262004818108
128.3,2.380830231087372
128.4,2.378400306960285
128.5,2.375972233575799
128.6,2.373546012059807
128.7,2.3711216435251936
128.8,2.3686991290718993
128.9,2.3662784697869728
129.0,2.363859666744632
129.1,2.36144272100632
129.2,2.3590276336207596
129.3,2.356614405624013
129.4,2.354203038039537
129.5,2.351793531878237
129.6,2.3493858881385274
129.7,2.346980107806384
129.8,2.344576191855399
129.9,2.342174141246839
130.0,2.339773956929698
130.1,2.337375639840752
130.2,2.334979190904616
130.3,2.3325846110337958
130.4,2.330191901128744
130.5,2.3278010620779126
130.6,2.325412094757807
130.7,2.323025000033042
130.8,2.3206397787563904
130.9,2.3182564317688406
131.0,2.315874959899649
131.1,2.3134953639663887
131.2,2.311117644775008
131.3,2.3087418031198776
131.4,2.306367839783846
131.5,2.30399575553829
131.6,2.3016255511431667
131.7,2.299257227347066
131.8,2.2968907848872595
131.9,2.2945262244897537
132.0,2.2921635468693418
132.1,2.289802752729652
132.2,2.287443842763197
132.3,2.2850868176514307
132.4,2.2827316780647915
132.5,2.280378424662755
132.6,2.278027058093884
132.7,2.2756775789958787
132.8,2.2733299879956217
132.9,2.2709842857092353
133.0,2.268640472742122
133.1,2.2662985496890187
133.2,2.263958517134044
133.3,2.2616203756507454
133.4,2.2592841258021488
133.5,2.2569497681408066
133.6,2.2546173032088443
133.7,2.2522867315380095
133.8,2.2499580536497197
133.9,2.247631270055107
134.0,2.245306381255069
134.1,2.242983387740313
134.2,2.240662289991403
134.3,2.2383430884788074
134.4,2.236025783662945
134.5,2.2337103759942307
134.6,2.2313968659131227
134.7,2.2290852538501653
134.8,2.2267755402260394
134.9,2.2244677254516043
135.0,2.2221618099279437
135.1,2.2198577940464115
135.2,2.217555678188677
135.3,2.2152554627267684
135.4,2.21295714802312
135.5,2.2106607344306113
135.6,2.208366222292619
135.7,2.2060736119430535
135.8,2.203782903706409
135.9,2.2014940978978026
136.0,2.1992071948230203
136.1,2.1969221947785607
136.2,2.1946390980516757
136.3,2.1923579049204167
136.4,2.1900786156536762
136.5,2.187801230511229
