Ketone transport,Ketone utilization,PMAS in e,GLU synaptic flux,PMAS in i,GAD67,GAD65,GT,GABA synaptic flux,Anaplerosis,GDH,GS,GLN uptake in e,GLN uptake in i,GLN efflux,CMRglc,CMRglc(ox)N,VPMAS,timestamp
-0.0046860671089818794,0.05197380716258202,0.16444910554140202,0.1718898457716877,0.042098492837302263,0.03946102096523707,0.0464856930563757,0.043630046287109876,0.046508686480094465,0.06,0.049431037558765094,0.2289450086361457,0.16444910554140202,0.042098492837302263,0.01367919674953116,0.3716539541897144,0.2536538237344801,0.2065475983787043,77.83192277720445
-0.004336037593535644,0.048522054308434065,0.16622702261582104,0.17064330358137458,0.04248603041558835,0.038862331587414964,0.04636539925484909,0.04253933931234809,0.04638795452481175,0.06,0.04944035531692637,0.22759625002447342,0.16622702261582104,0.04248603041558835,0.013790957011373495,0.374202466770902,0.2553931835711406,0.20871305303140938,88.90236214333345
-0.003943658545667363,0.044658950594139844,0.16821681688676413,0.16998175985067698,0.042919751461493044,0.03828155593034246,0.04624573039018161,0.04142091147028466,0.04626619513441393,0.06,0.04941673980401272,0.22686285869616926,0.16821681688676413,0.042919751461493044,0.013847763290700973,0.3770546896368816,0.2573398256771717,0.21113656834825717,100.25709671195546
-0.00354269487094243,0.040718159549138086,0.1702466260827517,0.16984269603235944,0.04336219467299823,0.03774264980460802,0.04613197018922855,0.04034589318387074,0.0461577973508666,0.06,0.049360381721600156,0.22666903320239237,0.1702466260827517,0.04336219467299823,0.013856000137878223,0.3799642709372778,0.2593256149146921,0.21360882075574994,111.62881659645609
-0.0031880989763214203,0.037238824060385194,0.17203875032642457,0.1700799535233795,0.0437528290278698,0.037308941430254136,0.046038450995825986,0.03945151665800413,0.04604708769200504,0.06,0.0493074208156457,0.22690798835276965,0.17203875032642457,0.0437528290278698,0.013829290786980862,0.3825331484444271,0.26107887381332145,0.21579157935429438,121.88040170262502
-0.0028760927641743738,0.03418182831531007,0.17361333725696454,0.17053522096095877,0.04409604616360814,0.036969592877851336,0.04596402019889286,0.038719508240246114,0.045986720618530444,0.06,0.04922364772696311,0.2273458141440257,0.17361333725696454,0.04409604616360814,0.013782095634452854,0.3847902023084077,0.26261931307548825,0.21770938342057267,131.25997424234083
-0.002588896915125244,0.03137159136890959,0.1750608245080185,0.171144812380457,0.0444115590252284,0.03670327990716568,0.0459048170786221,0.03810497804646762,0.04591376055406076,0.06,0.049153587914392394,0.22799263294859373,0.1750608245080185,0.0444115590252284,0.013719556599328948,0.38686506818572947,0.26403540903676037,0.21947238353324688,140.33753265450468
-0.0023148871206765853,0.02869365449057545,0.1764401670917395,0.17189064678696164,0.04471221820231446,0.036502323385781424,0.045859673966302625,0.03758615530952853,0.045871085771511035,0.06,0.049062746943284274,0.22877427266895753,0.1764401670917395,0.04471221820231446,0.013643012748402534,0.38884225372433473,0.2653848381668584,0.22115238529405398,149.5266464142187
-0.002049868219474749,0.026106622270965864,0.17777268681423022,0.17276218008277403,0.045002671268828426,0.03636985804886508,0.04582969313991462,0.03716202946362792,0.04583327798732971,0.06,0.04897061630111863,0.22971695890968472,0.17777268681423022,0.045002671268828426,0.013552892405068654,0.39075232215570854,0.2666884598712711,0.22277535808305865,159.0424034776588
-0.0017992544845451266,0.023662949899139078,0.17903136523581412,0.17372203309083656,0.04527702893958818,0.03631283739845533,0.045816732483676514,0.036845667505089136,0.04582036247630334,0.06,0.048866239729120575,0.2307592652147786,0.17903136523581412,0.04527702893958818,0.013452681181551487,0.3925565445456219,0.2679198416523869,0.2243083941754023,168.7569889777078
